,title,imdb,year,content,runtime,added,GAcAd,GAnimals,GAnimation,GAnime,GAnthology,GBio,GBuddy,GComedy,GComing,GConcert,GCrime,GDance,GDisaster,GDocumentary,GDocuseries,GDrama,GFamily,GFantasy,GFNoir,GGame,GHistorical,GKids,GLifestyle,GMedical,GMusic,GMusical,GMystery,GParody,GPolice,GProcedural,GReality,GRomance,GRomCom,GSciFi,GSoap,GSports,GSpy,GSuperhero,GSurvival,GTalk,GThriller,GTravel,GVariety,GWestern,link
43,Airport Security,,2016,TV-14,8 Seasons,"January 11, 2023",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/airport-security/
44,Akashinga: The Brave Ones,7.4,2020,TV-14,13 min,"December 2, 2022",False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/akashinga-the-brave-ones/
45,Al Davis vs. The NFL,,2021,78 min,Genres:,"September 2, 2022",False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/al-davis-vs-the-nfl/
46,Aladdin (1992),8.0,1992,G,94 min,"November 12, 2019",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/aladdin-1992/
47,Aladdin (2019),6.8,2019,PG,135 min,"January 8, 2020",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/aladdin-2019/
48,Aladdin and the King of Thieves,6.1,1996,G,86 min,"November 12, 2019",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/aladdin-and-the-king-of-thieves/
49,Aladdin: The Return of Jafar,6.0,1994,G,71 min,"November 12, 2019",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/aladdin-the-return-of-jafar/
50,Alaska Animal Rescue,8.8,2019,TV-PG,2 Seasons,"September 1, 2021",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/alaska-animal-rescue/
51,Alaska's Deadliest,,2018,TV-PG,1 Season,"December 14, 2022",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/alaskas-deadliest/
52,Alaska's Grizzly Gauntlet,6.7,2018,TV-PG,1 Season,"June 5, 2020",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/alaskas-grizzly-gauntlet/
53,Alex & Co.,5.7,2015,TV-G,3 Seasons,"April 13, 2022",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/alex-co/
54,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.0,2014,PG,83 min,"November 27, 2020",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/alexander-and-the-terrible-horrible-no-good-very-bad-day/
